name,type,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952
Purple Finch,species,3,,,2,4,,,,25,1,41,,,,,4,6,2,1,,2,,52,20,,,46,33,24,,42,4,29,4,,7,3,,CP,CP,12,2,10,,,,,7,1,5,15,,4,,,,4,1,,,,,
House Finch,species,74,61,107,36,175,141,142,28,136,116,225,38,140,235,98,216,105,222,241,303,620,400,744,1197,68,122,111,230,38,27,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Crossbill,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,CP,,1,,,,,4,,2,,,,,,,,,,,,,,,
White-winged Crossbill,species,,,,,2,,379,,CP,,,,,19,,,,9,,,,,,,,,,,,,CP,,,,,,1,,,,,,,,,8,,,,,,8,,,50,,,,36,,,,
Common Redpoll,species,250,,539,,20,,,141,8,20,139,77,3,710,,367,,867,,107,,1736,1,66,80,,,354,950,1134,,,2,1038,1027,,1,37,CP,224,35,79,,1440,,922,212,,15,204,,287,15,386,58,152,49,920,,,62,,360
Hoary Redpoll,species,,,CP,,,,,CP,,,,,,3,,,,2,,,,2,,,,,,,,1,,0,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine Siskin,species,10,,CP,151,4,,217,,,5,31,,,5,,1,,7,,3,1,,,6,,40,7,284,750,4,30,4,1,,137,,3,28,,301,12,17,,199,,407,,,2,11,,54,533,,37,35,25,6,,30,,,
American Goldfinch,species,532,327,522,870,736,298,661,77,941,334,380,174,239,172,629,67,275,49,422,239,780,111,346,381,191,195,602,163,505,370,564,252,240,137,80,65,264,293,71,646,475,568,18,350,5,59,10,406,94,21,187,533,566,15,89,31,107,96,9,85,119,,5
Evening Grosbeak,species,4,,,,,,,,,,,CP,,,,18,,1,,13,26,26,,112,244,83,9,495,971,476,78,516,48,344,561,378,775,353,1,777,563,445,580,324,297,498,365,1,81,300,,368,9,206,,210,252,140,,200,,,
House Sparrow,species,259,39,97,228,268,314,183,86,664,476,123,140,259,300,119,368,118,469,257,720,459,547,768,475,494,527,901,1186,785,799,826,890,1350,2209,1965,2200,1330,1240,1588,1927,1429,1004,574,522,276,334,107,660,644,1001,224,524,211,194,601,181,134,462,250,167,215,,123
No. of Participants,participants,45,35,34,27,35,27,29,21,33,35,32,24,30,20,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,20,
Black x Mallard Hybrid,special,,,1,,,1,1,,,,,,,2,,,,,,,,,,,,,,18,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mallard x Wigeon,special,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muscovy Duck (Exotic),special,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ringed Turtle Dove (Exotic),special,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parrot Species (Exotic),special,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horned Grebe,special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
